time,flux,flux_err
1791.5147368532014,0.9095466,0.00047231498
1791.5355708040609,0.9131628,0.00047331312
1791.556404753989,0.9188297,0.0004737446
1791.5772387025204,0.9245449,0.00047489142
1791.5980726501205,0.9299976,0.0004758281
1791.6189065963224,0.93687165,0.00047674056
1791.6397405415942,0.94371176,0.00047830635
1791.660574485469,0.9485702,0.00047869002
1791.6814084288778,0.9558537,0.0004799818
1791.702242370424,0.96075773,0.00048064004
1791.7230763115047,0.9670824,0.00048150928
1791.7439102511883,0.9726329,0.00048263028
1791.76474418994,0.9775902,0.0004832753
1791.7855781272954,0.98194647,0.00048383942
1791.8064120637193,0.9859299,0.00048455465
1791.827245999212,0.9909042,0.0004853266
1791.8480799337733,0.99331486,0.00048581316
1791.8689138674033,0.99568665,0.00048602145
1791.8897477996366,0.9984471,0.00048697577
1791.9105817309385,0.99967194,0.0004867855
1791.9314156613088,0.99957305,0.00048686724
1791.952249590748,0.99929196,0.00048701715
1791.9730835192556,0.99717045,0.00048681424
1791.993917446366,0.99525833,0.00048647943
1792.014751373011,0.9931571,0.00048624774
1792.035585298259,0.9893586,0.00048570326
1792.0564192225759,0.98558974,0.00048516825
1792.0772531459613,0.9813378,0.00048475055
1792.0980870688811,0.97802675,0.0004844843
1792.118920990404,0.971222,0.00048369978
1792.1397549109956,0.9660972,0.00048231552
1792.160588830656,0.9598963,0.00048175824
1792.1814227493849,0.95531267,0.00048098434
1792.202256667183,0.9477172,0.00047991902
1792.22309058405,0.9414405,0.00047894166
1792.2439244999848,0.93539214,0.00047855292
1792.2647584149884,0.9285871,0.00047706984
1792.2855923290608,0.9221726,0.0004765779
1792.306426242202,0.9184986,0.00047578852
1792.3272601544115,0.9129325,0.00047497315
1792.3480940661555,0.9081155,0.00047453633
1792.3689279765024,0.90448546,0.00047386775
1792.3897618859176,0.9008638,0.00047330803
1792.4105957948675,0.8992895,0.0004730318
1792.4314297028861,0.8967806,0.0004726767
1792.4522636095078,0.8941936,0.00047250718
1792.4730975156638,0.8939853,0.00047241873
1792.4939314208884,0.8922425,0.00047235508
1792.514765325182,0.8923459,0.00047206125
1792.53559922901,0.89284873,0.00047216797
1792.5564331314406,0.8931512,0.00047205936
1792.5772670334056,0.8946207,0.0004727316
1792.5981009344393,0.89588493,0.00047281917
1792.6189348345417,0.8959675,0.00047259175
1792.6397687337137,0.89770746,0.00047268785
1792.6606026319535,0.8992758,0.00047335832
1792.6814365297275,0.9007237,0.00047348172
1792.7022704261046,0.90032125,0.00047324406
1792.723104322016,0.9032057,0.0004737393
1792.7439382169962,0.9037172,0.0004738652
1792.7647721115109,0.904809,0.00047403912
1792.7856060050942,0.9051194,0.00047408542
1792.8064398972804,0.9061051,0.00047416543
1792.8272737894665,0.90528375,0.00047400326
1792.8481076802557,0.9056571,0.0004739914
1792.8689415705792,0.9049365,0.0004740627
1792.8897754595057,0.9034469,0.00047377957
